Genus	SMPL0	SMPL1	SMPL10	SMPL11	SMPL12	SMPL13	SMPL14	SMPL15	SMPL16	SMPL17	SMPL18	SMPL19	SMPL2	SMPL20	SMPL21	SMPL22	SMPL23	SMPL24	SMPL25	SMPL26	SMPL27	SMPL28	SMPL29	SMPL3	SMPL30	SMPL31	SMPL32	SMPL33	SMPL34	SMPL35	SMPL36	SMPL37	SMPL38	SMPL39	SMPL4	SMPL40	SMPL41	SMPL42	SMPL43	SMPL44	SMPL45	SMPL46	SMPL47	SMPL48	SMPL49	SMPL5	SMPL50	SMPL51	SMPL52	SMPL53	SMPL54	SMPL55	SMPL56	SMPL57	SMPL58	SMPL59	SMPL6	SMPL60	SMPL61	SMPL62	SMPL63	SMPL64	SMPL65	SMPL66	SMPL67	SMPL68	SMPL69	SMPL7	SMPL70	SMPL71	SMPL72	SMPL73	SMPL74	SMPL8	SMPL9
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	13	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia	3105	526	3	554	1	26735	102	1262	15	0	2345	0	270	0	11070	0	0	0	0	57	383	131	437	2926	17	3081	225	345	876	1377	192	382	170	1189	4	30	2	293	1615	905	973	0	1542	9858	834	861	66	603	161	925	979	0	2661	339	188	2685	444	1250	4235	2395	4797	4323	2661	699	9870	8324	1471	19	2720	56	1957	881	2330	15931	9038
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Sellimonas	244	39	0	0	0	647	7	330	0	0	72	0	172	0	209	0	0	0	0	0	33	16	16	367	0	171	8	171	54	28	6	97	15	6	0	0	1	34	15	268	163	0	47	420	21	180	25	29	30	30	4	0	28	28	134	73	363	54	30	38	107	138	9	3	121	39	241	0	109	8	18	66	32	323	801
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Tuzzerella	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	20	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	4	0	5	0	1	1	0	0	0	2	4	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Tyzzerella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	6	0	0	0	0	0	245
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Bacteroides] pectinophilus group	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] eligens group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	227	0	1	4	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] hallii group	3959	1402	0	822	0	4085	952	688	1253	0	637	0	229	0	7	0	0	0	0	2619	1474	1399	2831	2950	2	1859	323	7209	3275	948	1795	8567	2923	49	0	592	0	4	1986	1208	3195	0	2537	0	1824	3056	1246	1585	12	958	4806	40	280	1553	1235	1937	3052	2549	3289	939	5234	5377	2165	1618	3549	2317	5332	380	6726	3135	1385	2548	1091	4069	1309
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] ruminantium group	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	497	0	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	685	1946	1290	0	31	0	179	1334	0	800	0	1	644	3921	133	117	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] ventriosum group	116	1303	0	1	0	833	18	38	0	0	460	0	148	0	8	0	0	0	0	0	0	3	139	209	0	65	31	0	144	355	0	66	299	0	0	17	0	1	18	53	88	0	137	0	335	619	0	6	3	549	0	0	0	83	9	570	6	446	428	6	110	160	32	48	105	418	8	1	138	41	604	41	120	126	44
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Eubacterium] xylanophilum group	20332	6736	2	821	11	21647	101	2048	250	0	4921	0	377	0	956	991	0	9	5	3013	4436	565	1570	12586	1	318	1919	3160	4164	2328	2913	2756	5530	3234	0	84	0	127	1837	377	643	0	11786	229	1155	6371	3777	3346	6116	3265	3736	546	26806	1619	561	3459	16807	2061	6015	3154	4763	10824	891	734	19163	1645	6485	663	7080	977	5429	12002	1742	3289	6675
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus] gauvreauii group	5	0	0	0	0	7	0	4	0	0	2	0	0	0	0	0	0	0	0	0	78	3	0	15	0	0	35	0	5	4	0	101	0	0	0	0	0	1	0	0	1	0	0	0	3	2	2	0	0	0	0	0	2	5	19	1	0	5	2	1	1	2	0	2	2	3	8	0	6	1	3	2	1	14	14
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus] gnavus group	0	1	0	0	0	8	0	2	0	0	0	0	0	0	0	2	0	0	1	0	1	0	1	1	0	0	0	3	1	0	0	2	3	3	0	0	0	4	0	0	0	0	1	0	0	0	0	0	1	1	224	0	7	0	1	2	2200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;[Ruminococcus] torques group	208	190	0	10	11	1379	3	43	42	0	56	0	51	0	22	53	0	0	0	0	749	81	282	346	1	26	96	7257	102	6	47	361	91	302	0	6	0	15	1075	94	99	0	611	12	282	54	361	313	9304	526	803	0	291	371	52	766	445	867	184	133	1097	1442	107	274	1012	345	1414	9	5211	377	455	1069	668	2990	71
Bacteria;Firmicutes;Clostridia;Monoglobales;?;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	7	1	1	0	0	0
